
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFH: AO Construction              :      0.350u      0.000s      0.204w     16 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.023w     16 calls
HF: Form core H                     :      0.000u      0.050s      0.100w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     16 calls
HF: Guess                           :      0.900u      0.267s      1.897w     16 calls
| SAD Guess                         :      0.850u      0.267s      1.875w     16 calls
HF: Form G                          :      4.033u      0.000s      2.362w    250 calls
| JK: D                             :      0.000u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      4.033u      0.000s      2.351w    250 calls
| | DFH: compute_JK()               :      0.267u      0.000s      0.077w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.013w    162 calls
| | | DFH: compute_K                :      0.233u      0.000s      0.058w    162 calls
| | Libint2ERI::Libint2ERI          :      0.083u      0.000s      0.079w     88 calls
| | build_JK_matrices()             :      3.517u      0.000s      2.106w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.667u      0.000s      0.420w    234 calls
HF: Form C                          :      0.117u      0.000s      0.064w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:26:00 2024
Timers Off: Wed Dec 11 16:26:30 2024

Wall Time:       30.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.038w     16 calls
Libint2ERI::Libint2ERI              :      0.150u      0.000s      0.155w    136 calls
DFH: initialize()                   :      0.967u      0.200s      1.098w     16 calls
DFH: AO Construction                :      0.317u      0.000s      0.227w     16 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.026w     16 calls
HF: Form core H                     :      0.017u      0.050s      0.134w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      0.817u      0.450s      2.469w     16 calls
SAD Guess                           :      0.767u      0.450s      2.446w     16 calls
HF: Form G                          :      5.600u      0.067s      3.284w    250 calls
JK: D                               :      0.000u      0.000s      0.003w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      5.600u      0.017s      3.267w    250 calls
DFH: compute_JK()                   :      0.217u      0.000s      0.111w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.100u      0.000s      0.021w    162 calls
DFH: compute_K                      :      0.117u      0.000s      0.081w    162 calls
build_JK_matrices()                 :      4.967u      0.017s      2.933w     88 calls
JK: AO2USO                          :      0.000u      0.017s      0.001w    250 calls
HF: Form F                          :      0.000u      0.000s      0.004w    250 calls
HF: Form D                          :      0.000u      0.000s      0.002w    250 calls
HF: DIIS                            :      0.850u      0.000s      0.633w    234 calls
HF: Form C                          :      0.050u      0.000s      0.090w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.038w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.018w     16 calls
DFH: initialize()                   :      0.967u      0.200s      1.098w     16 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.023w     32 calls
| DFH: AO Construction              :      0.317u      0.000s      0.227w     16 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.026w     16 calls
HF: Form core H                     :      0.017u      0.050s      0.134w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      0.817u      0.450s      2.469w     16 calls
| SAD Guess                         :      0.767u      0.450s      2.446w     16 calls
HF: Form G                          :      5.600u      0.067s      3.284w    250 calls
| JK: D                             :      0.000u      0.000s      0.003w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      5.600u      0.017s      3.267w    250 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.111w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.100u      0.000s      0.021w    162 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.081w    162 calls
| | Libint2ERI::Libint2ERI          :      0.133u      0.000s      0.113w     88 calls
| | build_JK_matrices()             :      4.967u      0.017s      2.933w     88 calls
| JK: AO2USO                        :      0.000u      0.017s      0.001w    250 calls
HF: Form F                          :      0.000u      0.000s      0.004w    250 calls
HF: Form D                          :      0.000u      0.000s      0.002w    250 calls
HF: DIIS                            :      0.850u      0.000s      0.633w    234 calls
HF: Form C                          :      0.050u      0.000s      0.090w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:47:50 2024
Timers Off: Wed Dec 11 16:48:18 2024

Wall Time:       27.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.038w     16 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.128w    136 calls
DFH: initialize()                   :      1.017u      0.067s      1.023w     16 calls
DFH: AO Construction                :      0.250u      0.000s      0.219w     16 calls
DFH: AO-Met. Contraction            :      0.067u      0.000s      0.029w     16 calls
